policy,seed,logdet_cov,alpha_rmse,holdout_torque_rmse,sigma_eff,ee_error_mean,ee_error_max,tracking_rmse,fault,max_abs_qd,peak_abs_tau,sum_sq_qdd_ref
smooth_random_nullspace,23,-60.70783951634823,0.08469576373015815,0.9956925359096087,0.01,0.0020097096343713755,0.0032637236009101485,0.005778132814153341,False,0.04548542801475636,58.337323587368324,6452.970736251502
fourier_nullspace,23,-128.47515927012597,0.04086417594516635,0.10682614037053541,0.28589185440488957,0.00957102689480846,0.020231539578509095,0.011235469246335008,False,0.5514566310860353,56.872405813889216,22176.49430400749
free_reference,24,-117.9107200651464,0.055778232970728064,0.12826050340449624,0.4209178819258447,nan,nan,0.019385308402081802,False,0.935724286985019,54.83783610889747,4782.46337597988
no_exploration,24,-105.19419439237465,0.09546492683597793,0.7840182819414762,0.1455538868056071,0.01565050284402517,0.01838815754952001,0.017388873713412058,False,0.152317212650014,54.899137618803564,0.0
smooth_random_nullspace,24,-86.73009391039199,0.07496475480850325,0.38864145506664166,1.0265758383289816,0.015354187574126474,0.01954227733335777,0.01642252296482255,False,0.1829165363212835,60.83947263137408,5107.5635571529565
fourier_nullspace,24,-132.5345842463359,0.0506040523848003,0.14083389126040366,0.3136829478148426,0.015945531875391886,0.02167960488317197,0.017444052616708814,False,0.6922087167322032,61.09254736994023,18773.086312080533
free_reference,25,-114.01591250318214,0.03144475733265037,0.06668758223220987,0.41371471163750834,nan,nan,0.014257083981605795,False,1.0345503334610688,68.19984317612584,2807.9673426149666
no_exploration,25,-98.39112628400646,0.06464141230447173,0.7773351468372924,0.04949868842072373,0.006440518881357615,0.011552287679321286,0.015031707492589409,False,0.15504630757509602,49.23454276202995,0.0
smooth_random_nullspace,25,-87.9657126523288,0.0884151218385623,1.71353979515753,0.21343711982185024,0.0064696962851008,0.012015226694219902,0.014887067755858928,False,0.1576982815701338,56.08262289143396,4505.198494195894
fourier_nullspace,25,-128.0407472950137,0.015512143480996207,0.18730038157435358,0.29762164533092544,0.007026001108178732,0.01671116287422915,0.014197800885162168,False,0.42781609395626913,57.45491164537498,8791.054719147682
free_reference,26,-118.6739013366558,0.04427536059806558,0.23988409969999355,0.3688315529428038,nan,nan,0.019185472152577147,False,1.0366308611639345,69.84156916485107,3533.6872736244436
no_exploration,26,-60.70783951634823,0.11877509192996352,0.7916774086271436,0.01,0.010563191613961624,0.015284897176302619,0.008838936840955868,False,0.036227628200394726,50.08010765308179,0.0
smooth_random_nullspace,26,-68.63452652394197,0.11454592649528976,0.7897346333267995,0.6687213708423478,0.010519327269974734,0.015523816209454783,0.009113521669415352,False,0.07280953405761185,58.37605381106417,4795.725452832465
fourier_nullspace,26,-124.9721672147786,0.06040225494210765,0.11044528503170545,0.2844944425828038,0.016639497133821003,0.0383678209412486,0.01612059683484001,False,0.6040143567083284,57.32667430357625,9385.121278759514
free_reference,27,-119.44293709743613,0.06147619164154104,0.2174772837833691,0.3491851963520454,nan,nan,0.01811204836446503,False,1.3788567349559582,60.08068254889313,4193.328222321732
no_exploration,27,-89.5363941099016,0.09849338115666775,1.4652032301686593,0.20731081966882933,0.00731179453047505,0.010966411236398915,0.024861654781570246,False,0.1311365698074775,48.96520280213643,0.0
smooth_random_nullspace,27,-76.5138072949394,0.0616357815541401,0.6572618436876623,0.9623979320928993,0.007111018917285242,0.010450469635970698,0.024595351312187687,False,0.13076619204011655,58.65869757299984,5120.235692796549
fourier_nullspace,27,-124.70178462943791,0.03024854532762249,0.18479263954667996,0.32801994915300114,0.007878243291006693,0.019815316388530273,0.025897639815091404,False,0.5945410780234202,57.71380842859135,12447.257285975826
free_reference,28,-110.94762217957796,0.0486907842552713,0.25267535765049537,0.5804671504658726,nan,nan,0.022190434635239394,False,1.1123322953540042,60.112124812186146,4420.252693942863
no_exploration,28,-84.84662214696256,0.11619538786321985,0.6549425446231885,0.03350753333848772,0.01938589287033276,0.02506641536882233,0.01245550777211386,False,0.1269362524514314,49.25446767732708,0.0
smooth_random_nullspace,28,-87.8869264345645,0.7386272430363988,6.8453605610404935,0.11794192088925269,0.019267407352424444,0.026091775046339083,0.012629470752380516,False,0.12321102202265043,56.34167497045983,4091.232481122016
fourier_nullspace,28,-130.8618448278168,0.056237369425477315,0.2555889137145837,0.2802880967675131,0.01994197085696751,0.032220140067890604,0.016795168334479024,False,0.6374621067543002,60.017156752630214,13738.34818175838
free_reference,29,-127.44207757303766,0.05274235088829141,0.26862054811036634,0.31709026621740605,nan,nan,0.018793509048495798,False,1.532483050135632,68.60550432763625,6105.468551119777
no_exploration,29,-96.80417770920084,0.1266169948894817,1.001465403033403,0.03237588496308576,0.014232371561372064,0.019897341338012048,0.015557856187497419,False,0.15135520676385003,51.53202952698866,0.0
smooth_random_nullspace,29,-79.4689692551304,0.10228619426382875,0.566152882928077,1.331265660519428,0.014500753014030867,0.02215262807439781,0.01587960466173161,False,0.19769001290312646,60.17888721020677,5374.218371213374
fourier_nullspace,29,-131.37504364443512,0.03602689958112761,0.15795711985387761,0.29619834347859353,0.013734474622306803,0.023032913771877755,0.015996443325315107,False,0.4995264225487068,58.327786463231426,13988.437706529005
free_reference,30,-132.95568151076532,0.029761101975907988,0.07940922396664996,0.30137068782954324,nan,nan,0.04231098200189405,False,1.134919030269978,97.54643267841959,3190.2091043002456
no_exploration,30,-106.85600899507577,0.044610340319793135,0.205733328143848,0.08428763940219035,0.0159709187206672,0.031448541506434204,0.016846727211279767,False,0.29746692654045054,49.131174521806884,0.0
