config,policy,seed,logdet_cov,trace_cov,alpha_rmse,holdout_torque_rmse,validation_torque_rmse,fault,tracking_rmse,saturation_fraction,max_abs_q,max_abs_qd,peak_abs_tau,sigma_eff
horizontal,fourier_envelope,11,-86.90986047740597,8.802299889546459e-05,0.004965095222373483,0.007627820189602622,0.07740901635543256,False,0.005357788588135512,0.0,3.04853738060629,2.004624382972861,5.582669598468215,0.06678484954167242
horizontal,segment_fim_greedy,11,-86.87880917446783,0.00022826495012096622,0.039720298364334605,0.06839447120210752,0.07638558606492707,False,0.004844192431072041,0.0,1.8965103664933198,0.8579259541978814,9.577124276747584,0.06395803521581678
horizontal,segment_active_ig,11,-86.9124553528337,0.00023640074440788895,0.04296708436080517,0.07136246892339475,0.07656199318242657,False,0.0048024157332317375,0.0,1.6278118657177745,0.9264891728474737,7.85091973276017,0.06440791155975703
horizontal,hold_sequence,12,-69.14930300845714,0.007126664849796467,0.13153964582259153,0.27791288122707775,0.10575402774470942,False,0.0008334965492036414,0.0,0.3676193667885996,0.38357532905605196,10.000741322965437,0.07882654399589525
horizontal,smooth_random,12,-81.75805547288033,0.00036761688988940096,0.018432618034432666,0.03801372351551651,0.07656616925132201,False,0.0017976985983428288,0.0,1.225136253969249,0.9257674356618033,10.204789981389009,0.0829942528710165
horizontal,fourier_envelope,12,-83.87300375973527,0.00014983490898692946,0.0017524853388592675,0.007867197550245082,0.07713696809658141,False,0.002762933007170486,0.0,3.141601782662681,2.004951836531796,6.669011314991196,0.08063543299214859
horizontal,segment_fim_greedy,12,-87.50930633736732,0.00020471496765782626,0.04499450576714598,0.07747461261402974,0.0771078275265673,False,0.0016416432525061613,0.0,1.728617205342597,1.201905637818311,8.728818260117126,0.06667787248147543
horizontal,segment_active_ig,12,-85.03366632774689,0.00025044859952695137,0.028503065632856057,0.05483457897700336,0.07667297037812286,False,0.0019375423212714068,0.0,1.5072517458838277,0.9810023658950915,10.470156673581918,0.07716006908292887
horizontal,hold_sequence,13,-71.73571705838374,0.005175273343488772,0.17754345784288497,0.3703047150500127,0.11812908980663211,False,0.0014288970847149188,0.0,0.4029672147489995,0.3863022196066774,9.207496064902989,0.07783676617412552
horizontal,smooth_random,13,-79.81868054202404,0.0006389436368390147,0.019221015508935492,0.04595634882788488,0.07680723730205717,False,0.0027187737084079957,0.0,1.119959614979614,0.7354800843111179,8.816232136108392,0.07690908281688284
horizontal,fourier_envelope,13,-87.34185243538893,6.207536704723747e-05,0.013242382943337929,0.07214999150477379,0.10823335559736394,False,0.00397594311740873,0.0,2.833970114377632,1.9990442630596932,2.693602876292176,0.05040008956289387
horizontal,segment_fim_greedy,13,-85.05228649110452,0.00024321113707295776,0.046643983542569184,0.08047517930485724,0.07632548126218158,False,0.0038996193766431915,0.0,1.328292152758179,1.1333072186670996,14.779629323304137,0.08184451510939944
horizontal,segment_active_ig,13,-84.36519082211677,0.0003131899917956836,0.03983758421191629,0.07566341893424913,0.07615573671514349,False,0.0037911298488093837,0.0,1.1521666223661802,0.8769778187655394,10.561201877779741,0.0775181312380047
horizontal,hold_sequence,14,-71.02882707139742,0.006100633644484079,0.19541245158438972,0.4019687823630789,0.12449562155694288,False,0.0007283577200080029,0.0,0.47490997954560804,0.3716371019677924,9.979314995839346,0.0818960372386032
horizontal,smooth_random,14,-80.40351143460414,0.0005931977305026146,0.03994495232644048,0.07531013968271118,0.07754441384757026,False,0.0016006048185567261,0.0,1.07574642360039,0.6869854956323268,9.28345569277621,0.0783799763305216
horizontal,fourier_envelope,14,-83.30331653968612,0.00016771570346624232,0.010754057646773903,0.03878456191114856,0.08234098814226223,False,0.0025714411340583207,0.0,3.097019951420894,1.0308062771505035,7.177664443601316,0.05968632920909516
horizontal,segment_fim_greedy,14,-83.515534353212,0.0003218782459071918,0.013477401082692412,0.03186190203541925,0.07763650293170732,False,0.0023903848440835237,0.0,0.9299804690137012,0.9387510375220495,9.36005125584734,0.08214128446372083
horizontal,segment_active_ig,14,-83.95767344767003,0.0003102080441518899,0.044761488681769206,0.0756473722470922,0.07795659556628406,False,0.0022732187258187398,0.0,1.4589257731319871,0.8933752657395804,10.424602898105306,0.07958777893640558
horizontal,hold_sequence,15,-70.15128443225404,0.006444136961891424,0.12221638584047119,0.2571696991141119,0.0966868722514492,False,0.0016402259320864253,0.0,0.3991862542159016,0.3516047083049306,7.229461416912657,0.07139259452841096
horizontal,smooth_random,15,-83.16999394238997,0.00030256350557131116,0.023708719710460863,0.04598343290326532,0.07212799110895418,False,0.003975753936122034,0.0,1.5176621398600185,1.0238856848947142,8.092971680831877,0.06990204008189348
horizontal,fourier_envelope,15,-83.72080776470723,0.0001207236925208686,0.005987501329478054,0.017635040927818216,0.07492576601671389,False,0.004134807450010126,0.0,2.518273892053603,1.275067128295366,7.044835875959128,0.06522314851147198
horizontal,segment_fim_greedy,15,-83.88037902982973,0.0003106226212870011,0.04322887626011167,0.07721817360324806,0.07236820799010257,False,0.0046891385171719925,0.0,1.1459022706345892,1.0089435257220678,8.571884899502193,0.07555448295466935
horizontal,segment_active_ig,15,-87.63332234419161,0.00021519449418985762,0.036648971967602695,0.06093361154662863,0.07245593963940707,False,0.004326700663870113,0.0,1.7960838222439366,0.8683902416925683,8.383176953557173,0.0608775676197581
horizontal,hold_sequence,16,-70.91514909856258,0.005857369683129272,0.15783455201582317,0.32516129514550834,0.10926168921523703,False,0.0015752136098437309,0.0,0.3133758795742659,0.3535935725736106,8.928616719497391,0.07984335668246134
